TAMU Protocol ID	TAMU Protocol	NEMSIS Protocol ID	NEMSIS Protocol	Signs&Symptoms	History	Interventions Standby EMT	Interventions Basic EMT	Interventions Advanced EMT	Interventions Paramedic
AC_02	Asystole and PEA	9914011	Cardiac Arrest-Asystole	Unconscious3;  Pulseless3;  Apnea3; agonal respirations3; Asystole3; PEA3	Medical etiology3; Medications3; Events leading to arrest3; End stage renal disease3; Estimated downtime3; DNR3	CPR3; AED Application3; Supraglottic Airway Device3 	Mechanical CPR device3	Intubation3;IV/IO3;Fluid bolus3	Epinephrine3;Sodium Bicarbonate3;Calcium Chloride3
AC_03	Bradycardia	9914115	Medical-Bradycardia	Weak3; dizzy3; syncope3; Seizure3; Chest pain3; Pulmonary edema3; Acute altered mental status3	Medical etiology3; Medications: beta blockers, calcium channel blockers, digoxin, cholinergic, clonidine3; Pacemaker3; Events prior to onset3; Cardiac disease3	oxygen3	oxygen3	IV/IO3; Fluid bolus3	Atropine3;Diazepam3;Midazolam3;Lorazepam3;Ketamine3;Dopamine
AC_04	Cardiogenic Shock	9914127	Medical-Hypotension/Shock (Non-Trauma)	Hypotension3; AMS3; Chest pain3; Pulmonary edema3	Medical etiology: No evidence of trauma induced blood loss3; No signs of infection/sepsis3; Previous history of CHF/PE3; Exposure to an allergen3	oxygen3; trendelenburg position3	oxygen3; trendelenburg position3	IV/IO3; Fluid bolus3; Secondary Vascular Access3	Norepinephrine3; Dopamine3
AC_05	Chest Pain ACS/AMI	9914117	Medical-Cardiac Chest Pain	Chest discomfort3; Pain or pressure naval to jaw3; Epigastric discomfort3	Medical etiology3; Acute Myocardial Infarction (AMI)3; Acute Coronary Syndrome (ACS)3; Recent exertion3; Erectile Dysfunction Medications3; Angina or angina equivalents3; Age > 35 with upper abdominal pain3; Family history3	oxygen3; ASA3; zofran3	oxygen3; ASA3; zofran3	IV/IO3; Zofran3	Fluid bolus3; NTG3; Promethazine3; Pain management3
AC_06	Hypothermia Induced Arrest	9914013	Cardiac Arrest-Hypothermia-Therapeutic	Pulseless3; Apnea or agonal respirations3; Environmental evidence of hypothermia3; ECG findings3	Medical etiology3; Immersion or exposure to cold temperatures3; Drug abuse: alcohol, barbiturates3	CPR3; Warm patient3; AED application3; Supraglottic Airway Device3	Mechanical CPR device3	intubation3; IV/IO3; Fluid bolus3	If V-Fib3
AC_07	Narrow Complex Tachycardia-Stable	9914199	Medical-Tachycardia	ECG findings3	History of SVT / use of adenosine3; History of A-Fib or A-Flutter or WPW3	oxygen3	oxygen3	IV/IO3; Fluid bolus3	Adenosine3; Diltiazem3; Amiodarone3
AC_08	Narrow Complex Tachycardia-Unstable	9914147	Medical-Supraventricular Tachycardia (Including Atrial Fibrillation)	Pulmonary edema3; ECG findings3	History of SVT/use of adenosine3; History of A-Fib or A-Flutter or WPW3	oxygen3	oxygen3	IV/IO3; Fluid bolus3	Midazolam3; Ketamine3; Lorazepam3
AC_09	Post Resuscitation Management	9914019	Cardiac Arrest-Post Resuscitation Care	Patient with ROSC3; ECG findings3	Cardiac arrest3; Respiratory arrest3	oxygen3	oxygen3	IV/IO3; Fluid bolus3	Amiodarone3; Lidocane3; Norepinephrine3; Dopamine3; Midazolam3; Ketamine3; Lorazepam3
AC_10	Ventricular Ectopy	9914151	Medical-Ventricular Tachycardia (With Pulse)	Chest pain with weakness, dizziness, dyspnea, irregular rythms3; Multiform PVC's3; Couples, triplets3; Evidence of AMI in absence of bradycardia3	Cardiac stents, diabetes, hypertension, chest pain3; CAD, CHF, Cardiomyopathy3; Arrhythmia3; Pacer or implanted defibrillator3; Recent discharge of implanted defibrillator3; Stimulant use or drug use3	oxygen3	oxygen3	IV/IO3; Fluid bolus3	Amiodarone3; Lidocane3; Magnesium Sulfate3
AC_11	V-Fib and Pulseless V-Tach	9914017	Cardiac Arrest-Ventricular Fibrillation/ Pulseless Ventricular Tachycardia	Unconcious3; pulseless3; apena or agonal respirations3; ventricular fibrillation or ventricular tachycardia on ECG3	Medications3; Events leading to arrest3; End stage renal disease3; Estimated downtime3; Suspected overdose3; DNR3	CPR3; AED Application3; Naloxone3	Mechanical CPR device3	Intubation3; IV/IO3; Fluid bolus3	Defillibration3; Epinephrine3; Amiodarone3; Lidocane3; Magnesium Sulfate3
